Capteur,Date,Heure,totalIn,totalOut,averageBus,averageMotos,averagePL,averageVL,averageOther,averageSpeed
P10,2022/10/14,15,9,34,0.0,0.0,0.0,0.6046511627906976,0.3023255813953488,NaN
P10,2022/10/14,16,4,24,0.0,0.0,0.0,0.7142857142857143,0.10714285714285714,NaN
P10,2022/10/14,17,5,33,0.0,0.0,0.0,0.6578947368421053,0.02631578947368421,NaN
P10,2022/10/14,18,6,26,0.0,0.0,0.0,0.6875,0.15625,NaN
P10,2022/10/14,19,2,15,0.0,0.0,0.0,0.5882352941176471,0.0,NaN
P10,2022/10/14,20,2,7,0.0,0.0,0.0,0.5555555555555556,0.0,NaN
P10,2022/10/14,21,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/14,22,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/14,23,1,1,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/15,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/15,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/15,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/15,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/15,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/15,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/15,6,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/15,7,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/15,8,1,2,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,NaN
P10,2022/10/15,9,0,1,0.0,0.0,0.0,0.0,0.0,NaN
P10,2022/10/15,10,2,0,0.0,0.0,0.0,0.0,0.0,NaN
P10,2022/10/15,11,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/15,12,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/15,13,0,1,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/15,14,2,0,0.0,0.0,0.0,0.5,0.5,NaN
P10,2022/10/15,15,0,1,0.0,0.0,0.0,0.0,1.0,NaN
P10,2022/10/15,16,5,4,0.0,0.0,0.0,0.6666666666666666,0.0,NaN
P10,2022/10/15,17,1,0,0.0,0.0,0.0,0.0,1.0,NaN
P10,2022/10/15,18,1,2,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/15,19,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/15,20,0,0,NaN,NaN,NaN,NaN,NaN,NaN
